Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
Nate Pearson,SP,TOR,9,1,24.7805555,,Rise,70 / 70,65 / 70,45 / 45,40 / 55,45 / 50,2350,2600,95-100,102,60,20160
Luis Patiño,SP,TBR,11,3,21.5972222,,Rise,65 / 65,55 / 60,,45 / 55,40 / 60,2500,2500,93-97,99,60,22815
Ian Anderson,SP,ATL,12,2,23.0805555,,Rise,55 / 60,,50 / 55,70 / 70,55 / 60,2150,1700,91-95,97,60,19951
Matt Manning,SP,DET,19,2,23.3416666,,Rise,60 / 60,,60 / 60,50 / 55,45 / 55,2100,2300,93-96,98,60,20369
Tarik Skubal,SP,DET,22,4,24.5305555,4/20/16,Rise,70 / 70,60 / 60,45 / 45,45 / 50,35 / 45,2400,2250,93-96,97,60,22267
Asa Lacy,SP,KCR,24,2,21.9972222,,Rise,60 / 70,60 / 70,55 / 60,45 / 50,30 / 45,2200,2400,93-96,98,55,sa3014423
Max Meyer,SP,MIA,25,1,22.2194444,,Sink/Tail,60 / 70,65 / 70,,45 / 55,30 / 45,,,94-98,101,55,27474
Josiah Gray,SP,LAD,27,1,23.4444444,,Rise/Tail,55 / 55,50 / 55,,50 / 55,50 / 60,2300,2400,92-95,96,55,24580
Grayson Rodriguez,SP,BAL,28,2,21.5416666,,Tail,60 / 60,50 / 55,55 / 55,55 / 60,40 / 50,2400,2650,90-95,97,55,24492
Casey Mize,SP,DET,30,5,24.0833333,,Tail,55 / 55,60 / 60,,,55 / 60,2250,2500,92-95,97,55,20492
Michael Kopech,SP,CHW,31,2,25.0861111,9/18/18,Rise,70 / 70,55 / 60,50 / 55,40 / 45,40 / 45,2550,2600,94-98,101,55,17282
DL Hall,MIRP,BAL,32,3,22.7,,Tail,60 / 60,,55 / 60,55 / 60,30 / 40,2400,2500,93-96,98,55,22207
MacKenzie Gore,SP,SDP,33,3,22.2694444,,Rise,60 / 60,50 / 55,50 / 50,50 / 60,40 / 55,2150,2000,91-95,97,55,22201
Logan Gilbert,SP,SEA,35,3,24.0722222,,Rise,55 / 55,50 / 50,50 / 50,45 / 55,50 / 60,2250,2550,91-94,96,55,22250
Sixto Sánchez,SP,MIA,39,2,22.8388888,,Tail,60 / 60,50 / 50,,60 / 70,50 / 55,2100,2400,95-99,101,55,19680
Hunter Greene,SP,CIN,52,2,21.8194444,4/9/19,Tail,60 / 65,50 / 55,,45 / 55,35 / 60,2300,2325,95-98,103,50,22182
Emerson Hancock,SP,SEA,53,5,22.0027777,,Tail,50 / 55,55 / 60,45 / 50,55 / 60,35 / 55,,,93-96,97,50,27470
Spencer Howard,SP,PHI,56,1,24.8416666,,Rise,55 / 55,50 / 55,55 / 55,60 / 60,40 / 45,2350,2400,93-97,98,50,23252
Quinn Priester,SP,PIT,57,2,20.7111111,,Rise,55 / 60,,70 / 80,40 / 50,30 / 45,2150,2500,94-97,99,50,25977
Triston McKenzie,SP,CLE,58,1,23.8305555,,Rise,50 / 50,45 / 50,55 / 55,45 / 50,50 / 60,2350,2200,90-95,97,50,18000
Deivi García,SP,NYY,60,2,22.0333333,,Rise,50 / 50,45 / 50,60 / 60,55 / 60,50 / 55,2200,2700,91-95,97,50,20276
Alek Manoah,SP,TOR,62,3,23.3944444,,Rise,60 / 60,60 / 70,,40 / 50,35 / 50,2350,2350,94-97,98,50,26410
Daniel Lynch IV,SP,KCR,63,3,24.5388888,,Tail,60 / 60,50 / 55,50 / 50,45 / 55,40 / 50,2350,2250,91-95,97,50,21537
Edward Cabrera,SP,MIA,65,4,23.1333333,,Tail,60 / 60,50 / 60,,45 / 55,45 / 50,2250,2300,93-97,99,50,21690
Simeon Woods Richardson,SP,TOR,76,5,20.6777777,,Cut/Rise,50 / 55,,50 / 50,55 / 60,40 / 55,2300,2350,90-94,97,50,24494
Garrett Crochet,SIRP,CHW,77,4,21.9444444,,Rise,80 / 80,65 / 70,,30 / 40,30 / 40,2500,2400,99-101,102,50,27463
George Kirby,SP,SEA,79,6,23.3138888,,Rise,60 / 60,40 / 45,50 / 50,45 / 50,55 / 70,2150,2300,95-99,100,50,25436
Nick Lodolo,SP,CIN,83,4,23.3222222,,Tail,45 / 50,,55 / 55,50 / 55,45 / 55,2250,2400,91-94,96,50,26378
Jordan Balazovic,SP,MIN,85,5,22.7055555,,Rise,55 / 55,50 / 55,55 / 55,40 / 45,45 / 55,2150,2200,91-94,96,50,21866
Jhoan Duran,SP,MIN,86,6,23.3972222,,Sink,60 / 60,,50 / 55,45 / 50,40 / 45,1800,2700,95-99,101,50,21029
Daniel Espino,SP,CLE,98,6,20.4055555,,Sink/Tail,65 / 65,55 / 60,50 / 55,45 / 55,30 / 50,2250,2600,94-97,99,50,sa3011495
Luis Medina,MIRP,NYY,99,5,22.0777777,,Tail,65 / 70,,60 / 70,45 / 55,30 / 40,2500,2350,94-98,101,50,21649
Mick Abel,SP,PHI,101,2,19.7861111,,Rise/Tail,50 / 60,,50 / 60,45 / 55,25 / 55,,,92-94,97,50,sa3014534
Shane Baz,SIRP,TBR,102,7,21.9555555,,Rise,60 / 70,,55 / 60,40 / 40,30 / 40,2600,2550,92-97,100,50,22264
Matt Allan,SP,NYM,103,3,20.1222222,,Rise,55 / 60,,55 / 70,45 / 60,30 / 45,2450,2600,93-96,97,50,sa3011740
Roansy Contreras,SP,PIT,104,4,21.5666666,,Rise,50 / 55,50 / 55,,50 / 55,45 / 50,2400,2500,92-95,96,50,22810
Gregory Santos,MIRP,SFG,105,5,21.7583333,,Cut,60 / 60,60 / 70,,45 / 50,30 / 45,2450,2650,93-98,100,50,21894
Cade Cavalli,SP,WSN,106,1,22.7972222,,,55 / 60,55 / 55,55 / 60,40 / 50,35 / 45,,,93-97,98,50,27473
A.J. Puk,SP,OAK,107,2,26.1,4/10/18,Rise,50 / 55,60 / 60,50 / 55,55 / 60,40 / 45,2250,2250,94-97,99,50,19343
Tahnaj Thomas,SP,PIT,108,5,21.9583333,,Rise,70 / 80,45 / 55,,30 / 40,35 / 60,2300,2400,93-98,100,50,sa3003066
Trevor Rogers,SP,MIA,110,6,23.55,,Tail,60 / 60,40 / 45,,55 / 60,60 / 60,2400,2150,91-96,97,50,22286
Slade Cecconi,SP,ARI,116,5,21.9361111,,Rise/Tail,55 / 60,55 / 60,50 / 55,40 / 45,35 / 50,,,92-96,97,50,27500
Matthew Liberatore,SP,STL,118,5,21.5694444,,Sink,45 / 50,45 / 55,60 / 60,50 / 55,35 / 55,2000,2800,92-95,97,50,22294
Corbin Martin,SP,ARI,123,6,25.425,7/4/19,Rise,45 / 50,55 / 55,55 / 55,50 / 55,50 / 55,2400,2650,93-95,98,50,19884
Miguel Yajure,SP,PIT,124,8,23.0833333,11/22/16,Cut/Rise,50 / 55,,50 / 50,50 / 55,50 / 60,2250,2600,91-95,97,50,21111
Shane McClanahan,MIRP,TBR,127,9,24.0916666,10/29/15,Tail,65 / 65,,55 / 60,40 / 45,35 / 40,2300,2700,93-97,100,50,21483
Hunter Brown,SP,HOU,128,2,22.7555555,,Cut/Rise,60 / 60,50 / 55,60 / 70,40 / 50,30 / 45,2300,2500,92-95,97,50,25880
Seth Johnson,SP,TBR,129,10,22.7,,Rise,55 / 60,50 / 60,45 / 50,40 / 45,30 / 50,2400,2650,92-97,99,50,sa3011342
Brendan McKay,SP,TBR,130,11,25.4527777,,Sink,55 / 55,,55 / 55,50 / 55,55 / 70,2250,2050,91-95,96,50,20186
Aaron Ashby,MIRP,MIL,133,1,23.0194444,,Tail,55 / 60,55 / 60,55 / 60,45 / 50,30 / 40,2050,2300,94-97,98,50,23550
Matt Canterino,MIRP,MIN,134,7,23.4638888,,Cut/Rise,50 / 55,55 / 60,50 / 55,55 / 60,40 / 45,2200,2450,90-93,95,50,sa3011530
Jackson Rutledge,SP,WSN,,2,22.1666666,,,70 / 70,60 / 70,45 / 50,45 / 50,30 / 40,2450,2350,95-98,101,45+,26215
Francisco Morales,SIRP,PHI,,3,21.5944444,,Tail,55 / 60,60 / 70,,35 / 45,30 / 45,2500,2400,93-96,98,45+,22913
Cole Winn,SP,TEX,,3,21.5166666,,,50 / 55,45 / 50,50 / 55,50 / 55,35 / 50,2350,2500,92-94,96,45+,22113
Jairo Solis,SP,HOU,,3,21.4416666,8/1/18,Cut/Rise,60 / 60,50 / 50,60 / 60,45 / 55,30 / 45,2300,2500,92-95,97,45+,sa3003037
Reid Detmers,SP,LAA,,3,21.8972222,,,50 / 55,40 / 45,65 / 70,45 / 55,45 / 60,,,89-92,94,45+,27468
Bryan Mata,MIRP,BOS,,4,22.0777777,,Sink,60 / 60,45 / 45,50 / 50,55 / 60,40 / 50,2500,2600,93-96,99,45+,sa917784
Alec Marsh,SP,KCR,,4,23.0472222,,,60 / 60,50 / 55,50 / 50,45 / 50,35 / 50,2400,2350,94-97,100,45+,27451
Daulton Jefferies,SP,OAK,,4,25.8305555,4/26/17,,45 / 45,50 / 50,,60 / 60,60 / 60,2300,2450,91-94,95,45,19345
Ethan Small,SP,MIL,,4,24.2972222,1/1/16,RIse,50 / 55,,40 / 45,55 / 60,45 / 55,2200,2400,91-94,96,45,26364
Andry Lara,SP,WSN,,4,18.4027777,,,45 / 55,50 / 55,,40 / 50,25 / 55,,,89-93,96,40+,sa3014716
Adbert Alzolay,SP,CHC,,5,26.25,,Sink/Tail,55 / 55,60 / 60,55 / 55,40 / 45,45 / 50,2400,2900,92-95,97,45+,17859
Chris McMahon,SP,COL,,5,22.325,,Tail,50 / 55,50 / 55,,45 / 55,35 / 50,,,92-95,97,45,sa3014429
Luis Garcia,SP,HOU,,5,24.4666666,,Rise,50 / 50,55 / 55,45 / 50,55 / 60,50 / 50,2400,2500,91-94,96,45,23735
Jared Kelley,SP,CHW,,5,19.6611111,,Sink,55 / 60,,40 / 45,60 / 70,25 / 50,2300,2100,92-96,99,45,sa3014471
Lyon Richardson,SP,CIN,,6,21.3694444,,Rise,45 / 50,45 / 50,50 / 50,45 / 55,45 / 55,2250,2500,89-93,95,45+,24581
Ryan Pepiot,MIRP,LAD,,6,23.7777777,,Rise,55 / 60,,50 / 55,60 / 70,35 / 45,2450,2800,90-93,94,45+,26221
Ryan Weathers,SIRP,SDP,,6,21.5694444,,Sink/Tail,50 / 55,50 / 55,,40 / 45,50 / 50,2150,2150,88-93,97,45+,23796
Brailyn Marquez,SIRP,CHC,,6,22.3361111,,Sink/Tail,70 / 80,45 / 45,,50 / 55,30 / 35,2250,2250,93-97,100,45+,21896
Zack Thompson,SP,STL,,6,23.5916666,,Sink,40 / 45,45 / 50,60 / 60,,45 / 50,2050,2900,91-94,97,45,25918
Dane Dunning,SP,TEX,,6,26.4472222,3/18/19,Sink/Tail,40 / 40,55 / 55,40 / 40,50 / 55,60 / 60,2100,2200,90-93,94,45,19409
Noah Song,SP,BOS,,6,24.0083333,,Rise/Tail,55 / 60,50 / 55,50 / 55,40 / 45,40 / 50,2350,2500,93-95,99,45,sa3011695
Reese Olson,SP,MIL,,6,21.8361111,,Rise,55 / 60,60 / 60,50 / 55,60 / 60,30 / 40,,,93-96,97,45,24968
Bryan Abreu,SIRP,HOU,,6,24.1083333,,Rise/Tail,60 / 60,70 / 70,80 / 80,,30 / 30,2250,3000,93-96,97,45,16609
Seth Romero,MIRP,WSN,,6,25.1166666,8/30/18,Sink,45 / 50,55 / 60,,55 / 60,40 / 40,2300,2300,91-93,96,40+,21333
Zack Burdi,SIRP,CHW,,6,26.2277777,7/27/17,Tail,65 / 65,55 / 55,,55 / 55,30 / 35,2600,2700,96-98,100,40+,19159
Blake Walston,SP,ARI,,7,19.925,,Rise,40 / 45,40 / 45,55 / 70,45 / 55,25 / 55,2150,,88-92,93,45+,26270
Clayton Beeter,SIRP,LAD,,7,22.6444444,10/1/17,Rise,70 / 70,70 / 70,60 / 60,30 / 40,30 / 40,2550,2800,94-97,98,45+,27494
Masyn Winn,SIRP/SS,STL,,7,19.1944444,,,60 / 70,,60 / 70,30 / 50,20 / 40,,,93-96,98,45,27479
Kyle Muller,MIRP,ATL,,7,23.65,,Rise,70 / 70,55 / 60,55 / 55,45 / 45,30 / 35,2600,2200,95-96,98,45,20167
Erik Miller,SP,PHI,,7,23.3,,Sink,45 / 50,50 / 55,50 / 55,55 / 60,30 / 50,2350,2750,90-95,96,45,26252
Tanner Houck,MIRP,BOS,,7,24.9222222,,Tail,55 / 55,55 / 60,,,45 / 50,2350,2700,91-94,96,45,19879
J.T. Ginn,SP,NYM,,7,22.0305555,,,50 / 55,55 / 60,,45 / 50,35 / 50,,,91-94,96,45,sa3014428
Jeff Criswell,SP,OAK,,7,22.225,,,55 / 60,55 / 60,45 / 50,40 / 45,30 / 40,,,92-95,97,40+,sa3014435
Justin Lange,SP,SDP,,7,19.7222222,,,55 / 60,40 / 50,,40 / 50,20 / 45,,,92-97,100,40+,sa3014517
Matt Cronin,SIRP,WSN,,7,23.6972222,,Rise,60 / 65,,55 / 60,40 / 45,40 / 45,2400,2550,93-95,96,40+,sa3011463
Bobby Miller,SP,LAD,,8,22.1555555,,Sink,60 / 65,55 / 60,,45 / 55,30 / 45,2200,2350,92-96,98,45+,27483
Kyle Harrison,SP,SFG,,8,19.8027777,,Tail,50 / 55,45 / 50,,45 / 60,25 / 55,,,90-92,94,45+,27758
Clarke Schmidt,SP,NYY,,8,25.2805555,5/3/17,Sink,60 / 60,,70 / 70,40 / 45,45 / 45,2350,3000,91-95,96,45+,19899
Drey Jameson,SP,ARI,,8,23.7888888,,Tail,55 / 60,50 / 50,55 / 60,45 / 50,30 / 45,2300,2550,93-96,98,45,26260
Johan Oviedo,MIRP,STL,,8,23.2472222,,Rise,55 / 60,55 / 60,50 / 50,45 / 50,35 / 45,2300,2500,93-95,99,45,22487
Yerry Rodríguez,SP,TEX,,8,23.6277777,,Tail,50 / 55,50 / 55,,50 / 55,45 / 50,2500,2700,92-96,98,45,21955
Connor Seabold,SP,BOS,,8,25.3527777,,Rise,45 / 50,50 / 50,45 / 45,55 / 60,55 / 60,,,90-93,94,45,19695
Jackson Kowar,SIRP,KCR,,8,24.6583333,,Tail,55 / 60,,45 / 45,70 / 70,40 / 45,2300,2400,93-96,98,45,21549
Reiss Knehr,MIRP,SDP,,8,24.5777777,,Tail,45 / 50,45 / 50,,50 / 55,40 / 45,,,91-94,95,40+,21541
Cole Henry,SIRP,WSN,,8,21.8777777,,Tail,55 / 60,,50 / 60,40 / 50,30 / 45,,,91-96,96,40+,sa3014446
Jack Kochanowicz,SP,LAA,,8,20.4416666,,Rise,45 / 50,,50 / 60,45 / 50,30 / 50,2250,2600,88-92,94,40+,sa3014539
Brennan Malone,SP,PIT,,9,20.7305555,,Sink,55 / 60,50 / 55,50 / 55,40 / 50,35 / 50,2300,2300,92-96,99,45+,sa3011741
Yoendrys Gómez,SP,NYY,,9,21.6277777,,Rise/Tail,55 / 60,,50 / 55,40 / 50,40 / 55,2500,2550,93-96,98,45+,22872
Bryce Jarvis,SP,ARI,,9,23.4305555,,Rise,50 / 55,50 / 55,45 / 50,50 / 55,35 / 60,,,92-94,97,45,27477
Bryse Wilson,SP,ATL,,9,23.4472222,,Rise,45 / 45,40 / 40,55 / 55,40 / 45,55 / 60,2250,2350,92-94,96,45,19990
Nick Neidert,SP,MIA,,9,24.5305555,,,40 / 40,45 / 45,45 / 45,60 / 60,60 / 70,2300,2250,90-93,95,45,18699
Hans Crouse,SIRP,TEX,,9,22.7111111,,,60 / 60,,60 / 60,45 / 50,40 / 40,2500,2700,94-97,98,45,22192
Abner Uribe,SIRP,MIL,,9,20.9472222,,Rise/Tail,80 / 80,55 / 60,,,30 / 40,,,98-101,103,45,25327
Adam Macko,SP,SEA,,9,20.4194444,,Rise,55 / 60,55 / 55,55 / 60,,30 / 45,2400,2800,94-96,98,45,sa3011555
James Kaprielian,SP,OAK,,9,27.2472222,4/18/17,Rise,45 / 45,60 / 60,50 / 50,55 / 55,45 / 50,2050,2600,92-94,95,40+,18331
Helcris Olivarez,SP,COL,,9,20.8138888,,Tail,55 / 60,,50 / 55,30 / 45,30 / 45,2350,2550,94-96,98,40+,sa3002965
Anderson Espinoza,MIRP,SDP,,9,23.2277777,4/22/19*,,55 / 55,,55 / 55,50 / 55,30 / 40,2200,2750,93-96,97,40+,18593
Peter Solomon,SP,HOU,,9,24.7916666,6/1/19,,50 / 50,50 / 50,50 / 50,55 / 60,40 / 45,2350,2550,90-94,95,40+,20476
Chris Rodriguez,SIRP,LAA,,9,22.8638888,,,60 / 60,60 / 60,55 / 55,40 / 45,35 / 40,2150,2450,93-96,97,40+,22310
Lenny Torres Jr.,SP,CLE,,10,20.6277777,5/15/19,Tail,60 / 60,50 / 60,,40 / 50,40 / 50,2250,2400,92-95,97,45,sa3008329
Jared Shuster,SP,ATL,,10,22.8277777,,Rise,55 / 60,45 / 50,,55 / 60,30 / 45,2300,2100,93-95,97,45,27472
Dean Kremer,SP,BAL,,10,25.4,,Rise,50 / 50,,55 / 55,40 / 40,55 / 60,2300,2500,91-94,96,45,19350
Joey Wentz,SP,DET,,10,23.6527777,3/17/20,Cut/Rise,45 / 45,,45 / 50,55 / 60,45 / 55,2350,2350,88-92,94,45,19962
Matt Brash,MIRP,SEA,,10,23.0527777,,Rise/Tail,55 / 60,55 / 60,50 / 55,40 / 45,30 / 45,,,94-98,100,45,25756
Seth Corry,MIRP,SFG,,10,22.5777777,,Sink,50 / 55,,55 / 60,50 / 50,35 / 40,2200,2600,90-94,95,45,sa3004648
Tyler Ivey,MIRP,HOU,,10,25.0527777,,Rise,55 / 55,45 / 50,60 / 60,45 / 50,40 / 40,2350,2700,90-92,95,40+,20237
CJ Van Eyk,SP,TOR,,10,22.7111111,,Rise,50 / 50,50 / 55,45 / 50,50 / 55,30 / 45,2250,,91-94,96,40+,sa3014713
Angel Zerpa,SP,KCR,,10,21.6777777,,Tail,40 / 40,,50 / 55,55 / 60,35 / 60,,,91-93,94,40+,22717
Thomas Szapucki,MIRP,NYM,,10,24.9694444,7/19/17,Tail,50 / 55,,60 / 60,40 / 45,40 / 45,2200,2400,88-94,96,40+,21065
Tim Cate,SIRP,WSN,,10,23.6694444,1/1/13,Rise,40 / 45,,60 / 60,40 / 45,45 / 45,2100,2400,87-91,93,40,sa3007926
Matthew Thompson,SP,CHW,,10,20.8055555,,Rise,45 / 55,,45 / 55,40 / 50,30 / 45,2300,2100,91-94,96,40,sa3011866
Ryne Nelson,MIRP,ARI,,11,23.3333333,,Cut/Rise,60 / 60,55 / 60,50 / 55,40 / 50,30 / 40,2150,2500,93-96,97,45,26253
Eury Pérez,SP,MIA,,11,18.1277777,,Tail,45 / 60,,45 / 50,45 / 60,25 / 55,,,91-94,95,45,27768
Mike Baumann,SP,BAL,,11,25.725,,Rise,60 / 60,50 / 50,50 / 50,40 / 45,40 / 45,2350,2400,92-95,97,45,20206
Juan Then,SP,SEA,,11,21.3166666,,Tail,55 / 60,55 / 60,,40 / 50,40 / 50,2400,2450,93-96,98,45,22828
Alexander Vizcaíno,SIRP,NYY,,11,24.025,,Tail,60 / 60,45 / 50,,60 / 70,30 / 35,2150,2500,93-97,98,45,sa920272
Christian Roa,SP,CIN,,11,22.1638888,,Rise,50 / 50,50 / 50,55 / 55,50 / 55,35 / 50,,,92-93,96,40+,sa3014477
Colin Peluse,MIRP,OAK,,11,22.9722222,,,55 / 60,55 / 60,,45 / 55,30 / 45,,,93-96,97,40+,sa3011126
Sam Weatherly,SP,COL,,11,22.0083333,,Tail,55 / 60,55 / 60,,30 / 45,30 / 45,2350,2650,92-95,97,40+,sa3014455
Alex Lange,SIRP,DET,,11,25.6638888,,Rise,60 / 60,60 / 60,50 / 50,55 / 55,35 / 40,2300,2150,95-97,98,40+,19883
Eduard Bazardo,SIRP,BOS,,11,25.75,,Rise,55 / 60,,70 / 70,,30 / 35,2250,2900,94-96,98,40+,20997
Forrest Whitley,MIRP,HOU,,11,23.7111111,3/17/21,Rise,60 / 60,55 / 55,60 / 60,60 / 60,30 / 40,2500,2900,93-97,99,40+,19586
Jonathan Bowlan,SP,KCR,,11,24.5,,Sink,50 / 55,50 / 55,,40 / 45,50 / 60,2250,2300,91-95,97,40+,24607
Andrew Dalquist,SP,CHW,,11,20.55,,Tail,40 / 45,40 / 50,45 / 55,40 / 50,35 / 55,2100,2300,91-93,95,40,sa3011841
Tommy Henry,SP,ARI,,12,23.8388888,,Rise,45 / 50,50 / 55,,50 / 55,35 / 50,2300,2150,88-92,93,45,26285
Ethan Hankins,SP,CLE,,12,21.0222222,,Tail,55 / 60,50 / 55,50 / 50,45 / 50,30 / 50,2350,2500,92-95,97,45,sa3008589
Cody Bolton,SP,PIT,,12,22.95,,Sink,50 / 50,55 / 55,,50 / 50,50 / 50,2450,2600,92-95,97,45,23265
Tristan Beck,SP,SFG,,12,24.9361111,,Rise,50 / 50,45 / 45,55 / 55,55 / 55,40 / 45,2250,2400,89-94,95,45,21584
Jared Solomon,SIRP,CIN,,12,23.975,11/22/20,Tail,70 / 70,60 / 60,,,40 / 45,2350,2500,96-98,99,40+,23425
Tink Hence,SP,STL,,12,18.8194444,,Rise,45 / 55,,50 / 60,40 / 50,25 / 55,,,90-94,96,40+,sa3014709
Daniel Palencia,SP,OAK,,12,21.3222222,,,60 / 60,,50 / 55,,30 / 45,,,96-98,99,40+,
Bailey Falter,SP,PHI,,12,24.1027777,,,,,,,,,,,,40+,20070
Ryan Rolison,SP,COL,,12,23.8888888,,Cut/Rise,40 / 45,,60 / 60,40 / 50,35 / 45,2250,2600,89-94,96,40+,sa3008244
Brayan Bello,SIRP,BOS,,12,22.0388888,,Tail,55 / 60,40 / 45,,55 / 60,30 / 40,2250,2400,92-95,98,40+,23920
Josh Winder,SP,MIN,,12,24.6388888,,Rise,50 / 55,50 / 50,45 / 50,45 / 50,40 / 45,2150,2400,91-93,96,40+,24606
Julian Merryweather,SIRP,TOR,,12,29.6305555,3/10/18,Rise,70 / 70,50 / 50,45 / 45,60 / 60,45 / 45,2200,2550,96-98,99,40+,16703
Ryan Jensen,MIRP,CHC,,12,23.5222222,,Sink/Tail,70 / 70,45 / 50,,45 / 50,40 / 50,2550,2450,93-96,99,40+,sa3011496
Brandon Williamson,MIRP,SEA,,12,23.1638888,,Rise,55 / 55,50 / 55,55 / 60,45 / 50,35 / 40,2250,2650,92-95,97,40+,25463
John McMillon,SIRP,KCR,,12,23.3444444,,Rise,60 / 70,50 / 55,,,30 / 35,,,94-96,97,40+,
Jonathan Stiever,SP,CHW,,12,24.0527777,,Sink,40 / 45,45 / 50,45 / 45,50 / 55,45 / 55,2350,2300,90-94,95,40,24584
Matt Tabor,SP,ARI,,13,22.8805555,,Rise/Tail,45 / 45,,50 / 55,55 / 60,35 / 50,2450,2450,90-93,94,45,sa3005334
Sam Hentges,SIRP,CLE,,13,24.8694444,7/5/17,Sink,65 / 65,,55 / 55,45 / 45,35 / 40,2200,2400,91-95,99,45,18548
Luis Gil,SIRP,NYY,,13,22.9944444,,Rise,70 / 70,50 / 50,,40 / 45,40 / 45,2550,2750,93-97,99,45,21052
William Holmes,SP,LAA,,13,20.4444444,,Tail,45 / 50,45 / 55,,45 / 55,30 / 50,2450,,88-94,95,40+,sa3007744
Ian Bedell,SP,STL,,13,21.7388888,,Rise/Tail,40 / 50,,55 / 60,40 / 50,35 / 60,,,88-93,94,40+,sa3014538
Tucker Davidson,MIRP,ATL,,13,25.1833333,,Rise,45 / 55,50 / 55,55 / 55,40 / 40,40 / 40,2200,2500,91-95,98,40+,19871
JoJo Romero,MIRP,PHI,,13,24.7,,Sink,55 / 55,50 / 55,,50 / 55,45 / 45,2250,2550,93-95,96,40+,19574
Lucas Gilbreath,SIRP,COL,,13,25.2388888,,Cut/Rise,60 / 60,50 / 55,,,40 / 40,2300,,93-96,97,40+,21290
Jay Groome,SP,BOS,,13,22.7722222,5/15/18,Rise,50 / 50,40 / 45,55 / 55,45 / 50,40 / 50,2250,2500,92-94,95,40+,sa917925
Shawn Dubin,SIRP,HOU,,13,25.7361111,,Rise,55 / 55,60 / 60,50 / 50,,40 / 40,2300,2750,92-95,97,40+,24977
Wyatt Mills,SIRP,SEA,,13,26.35,,Sink/Tail,50 / 50,55 / 55,,45 / 50,50 / 55,2050,2550,92-94,95,40+,20010
Adam Kloffenstein,SP,TOR,,13,20.7666666,,Sink,45 / 50,50 / 55,40 / 45,40 / 50,30 / 50,2000,2300,88-92,94,40,sa3008578
Junior Santos,SP,NYM,,13,19.7916666,,Tail,50 / 60,45 / 50,,40 / 50,20 / 45,2350,2150,89-93,95,40,sa3005470
Joan Adon,SIRP,WSN,,13,22.8027777,,,50 / 55,45 / 45,,50 / 55,40 / 40,2250,2150,92-96,98,40,22925
Andre Jackson,SP,LAD,,14,25.0833333,11/1/16,Rise,50 / 50,,50 / 50,45 / 50,45 / 50,2400,2400,90-93,95,45,21298
Tony Santillan,SIRP,CIN,,14,24.1277777,,Tail,50 / 50,55 / 55,,45 / 50,40 / 45,2200,2600,91-94,96,40+,19926
Levi Kelly,MIRP,ARI,,14,22.0472222,,Rise,45 / 50,60 / 70,50 / 50,,30 / 40,2250,2500,90-94,96,40+,sa3008500
Freddy Tarnok,SP,ATL,,14,22.5194444,,Rise,45 / 55,,50 / 55,45 / 55,35 / 50,2450,2275,89-92,96,40+,23324
Carmen Mlodzinski,SP,PIT,,14,22.2833333,,Sink,55 / 60,50 / 50,,40 / 45,35 / 50,,,93-97,98,40+,27572
Owen White,SP,TEX,,14,21.8111111,,,45 / 50,,55 / 60,45 / 55,30 / 50,2300,2500,92-95,96,40+,22273
Thaddeus Ward,MIRP,BOS,,14,24.375,,Tail,45 / 50,50 / 55,45 / 45,40 / 45,40 / 45,2250,2700,90-94,96,40+,21513
Camilo Doval,SIRP,SFG,,14,23.9083333,,Cut,,55 / 55,,,20 / 30,2750,2700,93-98,99,40+,21992
Edwin Núñez,SP,STL,,14,19.5722222,,,55 / 70,,45 / 55,,20 / 50,,,92-96,99,40,
Brian Howard,SP,OAK,,14,26.1,,,50 / 50,,45 / 50,45 / 50,50 / 55,2150,2500,89-91,93,40,sa918377
Ryley Gilliam,SIRP,NYM,,14,24.8055555,,Rise,55 / 55,20 / 55,55 / 55,,30 / 35,2600,2800,94-95,96,40,sa3008225
Norge Vera,RHP,CHW,,14,21,,,45 / 50,,50 / 55,40 / 50,40 / 50,,,90-94,97,40,
Carlos Vargas,SIRP,CLE,,15,21.6333333,,Sink,55 / 65,55 / 60,,35 / 45,30 / 40,2250,2400,94-97,99,45,22915
Luis Frías,SIRP,ARI,,15,23.0222222,,Sink,55 / 55,45 / 50,45 / 50,,30 / 40,2350,2350,93-97,99,40+,21997
Justin Slaten,MIRP,TEX,,15,23.7111111,,,55 / 55,60 / 70,,45 / 50,35 / 45,2300,2400,92-96,97,40+,25648
Aldo Ramirez,SP,BOS,,15,20.0694444,,Rise,45 / 50,45 / 50,,45 / 55,35 / 60,2150,2200,90-95,96,40+,sa3005371
Cole Sands,SP,MIN,,15,23.8722222,,Tail,50 / 55,,55 / 55,45 / 50,40 / 45,2450,3000,91-94,96,40+,21461
Austin Cox,MIRP,KCR,,15,24.175,,Rise,45 / 50,50 / 50,50 / 50,50 / 55,30 / 40,2200,2450,89-93,95,40+,24604
T.J. Sikkema,SP,NYY,,15,22.85,,Tail,45 / 50,50 / 55,,40 / 50,45 / 60,2250,2300,90-94,95,40+,sa3011191
Davis Daniel,SIRP,LAA,,15,23.9722222,4/25/19,Rise,45 / 55,,55 / 60,,30 / 40,,,90-93,94,40,27582
Junior Fernández,SIRP,STL,,15,24.2472222,,Sink,55 / 55,45 / 45,,60 / 60,30 / 35,2200,2150,95-97,99,40,18496
