Name,Pos,Org,Top 100,Org Rk,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
Jason Foley,SIRP,DET,,27,25.5833333,,Tail,65 / 65,45 / 45,,,40 / 40,2250,2200,94-97,100,40,19531
Frank German,RHP,BOS,,27,23.6916666,,Cut/Rise,60 / 65,40 / 50,,45 / 50,35 / 40,2200,2400,92-96,98,40,24750
Justin Topa,SIRP,MIL,,27,30.2333333,5/1/15*,Tail,70 / 70,60 / 60,,,30 / 30,2100,2600,96-98,100,40,15145
Benjamin Rodriguez,SP,CHC,,27,21.8444444,,Rise,45 / 50,,45 / 55,40 / 50,30 / 50,2300,,90-92,94,40,sa3004962
Carson Ragsdale,SP,SFG,,27,23.0166666,,,45 / 50,,55 / 60,,35 / 55,,,91-95,96,40,sa3014922
Jared Johnson,SP,ATL,,27,20.2111111,,Sink,55 / 60,45 / 55,,,30 / 50,1850,,94-97,99,35+,sa3011626
Ashton Goudeau,SIRP,COL,,27,28.8555555,,Rise,50 / 50,50 / 50,55 / 55,40 / 45,55 / 55,2200,2400,91-94,96,35+,15139
Victor Lizarraga,SP,SDP,,27,17.5027777,,,35 / 50,,45 / 55,20 / 50,25 / 55,,,88-91,92,35+,
Jairo Lopez,SP,HOU,,27,20.5277777,,,50 / 50,55 / 55,50 / 50,40 / 45,35 / 50,2200,2850,91-94,95,35+,sa3005824
Michel Otanez,SIRP,NYM,,27,23.9111111,10/1/16,Sink/Tail,55 / 60,45 / 50,,,30 / 40,2200,,90-97,99,35+,sa932611
Caleb Freeman,SIRP,CHW,,27,23.2722222,,Rise,55 / 60,,55 / 60,,30 / 35,2400,3050,92-95,97,35+,sa3011339
Denny Larrondo,SP,NYY,,28,19.0027777,,Rise,45 / 60,,55 / 60,35 / 50,35 / 55,2500,2900,88-92,94,40,sa3010654
Humberto Mejía,MIRP,ARI,,28,24.2444444,,Rise,50 / 50,45 / 45,55 / 55,40 / 45,40 / 45,2300,2350,90-93,95,40,20739
Jerming Rosario,SP,LAD,,28,19.0638888,,Tail,40 / 50,,40 / 45,50 / 60,25 / 60,2200,2250,89-92,94,40,sa3008678
Josh Fleming,SP,TBR,,28,25.0361111,,Sink/Tail,40 / 40,,,50 / 50,70 / 70,1850,1850,89-92,94,40,20418
Braxton Garrett,SP,MIA,,28,23.8222222,6/20/17,,40 / 40,45 / 45,55 / 55,50 / 50,50 / 55,2100,2350,91-92,96,40,21844
Bruce Zimmermann,SP,BAL,,28,26.3111111,,Cut/Rise,40 / 40,50 / 55,50 / 50,40 / 45,60 / 60,2350,2600,90-92,95,40,20370
Mike Burrows,SIRP,PIT,,28,21.5638888,,Rise,50 / 55,,55 / 60,,30 / 40,2550,2800,90-94,96,40,sa3008517
Zack Hess,SIRP,DET,,28,24.2666666,,Rise,60 / 60,55 / 60,,40 / 45,40 / 45,2500,2550,93-95,97,40,sa3010777
Jacob Wallace,SIRP,BOS,,28,22.8,,Tail,45 / 50,50 / 60,,50 / 55,30 / 40,2500,2850,88-93,96,40,sa3010374
Jonathan Heasley,SIRP,KCR,,28,24.3444444,,,55 / 55,40 / 45,,55 / 60,35 / 40,2350,2800,91-94,96,40,22224
Kai-Wei Teng,SP,SFG,,28,22.5,,Sink,45 / 50,45 / 50,50 / 50,45 / 50,45 / 60,2450,2500,91-94,96,40,24282
Oliver Ortega,SIRP,LAA,,28,24.6638888,,Rise,55 / 55,,55 / 55,,30 / 35,2300,,92-96,97,35+,21025
Brandon Bailey,SIRP,CIN,,28,26.6166666,2/26/21,Rise,50 / 50,45 / 50,55 / 55,60 / 60,40 / 40,2550,2600,89-93,94,35+,19582
Cristopher Sánchez,MIRP,PHI,,28,24.4694444,,Sink,50 / 55,45 / 45,45 / 45,50 / 55,40 / 45,2250,2200,89-94,95,35+,20778
Antonio Santos,SIRP,COL,,28,24.6527777,,Rise,55 / 55,50 / 50,45 / 45,50 / 50,40 / 40,2200,2200,92-95,97,35+,20383
Zayad Salinas,SP/OF,SDP,,28,18.3833333,,,40 / 50,,45 / 50,40 / 50,20 / 50,,,87-91,92,35+,
Angel Macuare,SP,HOU,,28,21.2444444,,Rise,45 / 50,45 / 50,55 / 55,40 / 45,35 / 45,2250,2350,89-91,94,35+,sa3003039
Yosver Zululeta,SIRP,TOR,,28,23.3555555,,Rise,,,,,,,,,96,35+,
Jon Duplantier,SP,ARI,,29,26.8888888,,Tail,40 / 40,55 / 55,50 / 50,50 / 55,50 / 55,2250,2600,91-94,96,40,19546
Alex Vesia,SIRP,LAD,,29,25.1388888,,,45 / 45,,45 / 45,60 / 60,45 / 45,2400,2250,91-94,95,40,25007
Hunter Gaddis,MIRP,CLE,,29,23.1444444,,Rise,45 / 50,50 / 55,40 / 40,55 / 60,40 / 50,2250,2350,90-93,96,40,25636
Zach McCambley,SP,MIA,,29,22.1055555,,Sink,40 / 45,20 / 55,70 / 70,40 / 45,30 / 45,2500,2700,89-93,95,40,sa3014478
Drew Rom,SP,BAL,,29,21.4611111,,Rise,30 / 45,50 / 55,,,45 / 55,2350,2300,88-92,93,40,24602
Nick Garcia,SP,PIT,,29,22.1138888,,Rise,45 / 50,45 / 50,40 / 45,40 / 50,30 / 50,,,91-94,98,40,sa3014501
Tyler Phillips,SP,TEX,,29,23.5944444,,,40 / 40,40 / 45,50 / 50,55 / 55,55 / 70,2200,2300,92-94,96,40,sa875646
Grant Gambrell,MIRP,BOS,,29,23.5277777,,Rise/Tail,50 / 55,,55 / 60,45 / 50,30 / 40,2450,2550,91-94,96,40,sa3011129
Cory Abbott,SP,CHC,,29,25.6972222,,Tail,40 / 40,50 / 50,45 / 45,45 / 45,55 / 55,2350,2500,88-93,95,40,20277
Charlie Neuweiler,SP,KCR,,29,22.3138888,,,40 / 40,,55 / 60,,35 / 55,2350,2700,88-92,93,40,sa3004345
Gerardo Reyes,SIRP,LAA,,29,28.05,3/10/21,Tail,60 / 60,55 / 55,,,30 / 30,2450,2400,95-98,99,35+,16306
Hector Perez,SIRP,CIN,,29,24.9861111,,Cut/Rise,60 / 60,50 / 55,,,20 / 30,2350,2350,91-95,96,35+,18592
Steven Gingery,SP,STL,,29,23.6694444,,,40 / 45,,45 / 45,55 / 60,35 / 50,2000,2300,88-93,94,35+,sa3011747
Dominic Pipkin,SP,PHI,,29,21.5722222,,Sink,50 / 60,40 / 45,40 / 45,45 / 55,35 / 50,2100,2000,90-95,98,35+,sa3007896
Riley Pint,SIRP,COL,,29,23.5694444,,None,70 / 70,70 / 70,,,20 / 30,2250,2750,97-99,102,35+,21858
Manny Ramirez,SIRP,HOU,,29,21.5277777,,,55 / 60,,50 / 60,40 / 50,20 / 30,2450,2700,92-95,97,35+,sa3004833
Sem Robberse,SP,TOR,,29,19.6361111,,,30 / 50,20 / 50,50 / 55,20 / 50,20 / 50,2400,2500,88-81,93,35+,sa3011735
Devin Sweet,MIRP,SEA,,29,24.7361111,,,45 / 45,,45 / 45,55 / 60,45 / 55,2250,2350,90-93,95,35+,25348
Jimmy Lambert,SIRP,CHW,,29,26.5361111,6/21/19,Tail,45 / 50,50 / 55,50 / 55,50 / 55,45 / 50,2200,2750,91-94,95,35+,19541
Carlos Duran,SIRP,LAD,,30,19.8361111,,Sink,50 / 55,,55 / 60,40 / 50,25 / 50,2050,2700,89-94,96,40,sa3006404
John Doxakis,MIRP,TBR,,30,22.7805555,,SInk/Tail,40 / 45,50 / 55,,50 / 55,45 / 60,2250,2400,88-92,93,40,sa1115967
Zach Pop,SIRP,MIA,,30,24.6972222,5/14/19,Sink,60 / 60,50 / 50,,,50 / 50,2150,2450,94-96,98,40,20185
